ID	Smiles	Class
CHEMBL411	CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1	0
CHEMBL417	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1	0
CHEMBL6966	COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	1
CHEMBL424	O=C(O)c1ccccc1O	0
CHEMBL8260	O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12	0
CHEMBL58	O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21	1
CHEMBL61	COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC	1
CHEMBL480	Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1	0
CHEMBL83	CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1	0
CHEMBL429950	C[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)O	1
CHEMBL10650	N[C@@H](Cc1ccccc1)C(=O)CCC(=O)O	1
CHEMBL274764	N[C@@H](Cc1ccccc1)[C@@H](O)/C=C/C(=O)O	0
CHEMBL417979	N[C@@H](Cc1ccccc1)C(=O)NCC(=O)O	1
CHEMBL497	Oc1c(I)cc(Cl)c2cccnc12	0
CHEMBL506	COc1cc(NC(C)CCCN)c2ncccc2c1	0
CHEMBL105	CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12	1
CHEMBL14762	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	1
CHEMBL428690	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1	1
CHEMBL572	O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1	1
CHEMBL114	CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1	1
CHEMBL584	Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C	1
CHEMBL117	O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12	1
CHEMBL275638	O=c1cc(-c2ccccc2)oc2ccccc12	0
CHEMBL118	Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1	0
CHEMBL596	CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1	1
CHEMBL19224	COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC	1
CHEMBL18981	COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2	1
CHEMBL623	CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1	1
CHEMBL634	CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1	0
CHEMBL129	Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O	0
CHEMBL651	CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1	1
CHEMBL658	CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1	1
CHEMBL25110	CC(C)c1cccc(C(C)C)c1OC(=O)[N-]S(=O)(=O)Oc1c(C(C)C)cccc1C(C)C.[Na+]	1
