ID	Smiles	Class
CHEMBL269538	COc1ccc2c(c1)[nH]c1c(C)nccc12	0
CHEMBL267616	COc1ccc(CC2CCc3nc(N)nc(N)c3C2)cc1OC	1
CHEMBL7063	COc1cc(CC2CCc3nc(N)nc(N)c3C2)cc(OC)c1OC	1
CHEMBL7375	COc1ccc(OC)c(CC2CCc3nc(N)nc(N)c3C2)c1	1
CHEMBL38	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1	0
CHEMBL43	COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12	1
CHEMBL7643	O=C(Nc1ccc(Cl)cc1)NS(=O)(=O)c1ccc2c(c1)CCC2	0
CHEMBL7829	Cc1ccc(S(=O)(=O)NC(=O)Nc2ccc(Cl)cc2)cc1	0
CHEMBL61	COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC	1
CHEMBL9011	COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)c(N)c1	1
CHEMBL9309	COc1ccc(N)c(C(=O)c2cc(OC)c(OC)c(OC)c2)c1	1
CHEMBL276625	COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O	1
CHEMBL9514	COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1	1
CHEMBL9941	COc1ccc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O	0
CHEMBL269671	C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4	0
CHEMBL274070	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1	1
CHEMBL273862	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1	1
CHEMBL11908	O=C(O)c1cc2c3ccccc3nc-2c[nH]1	0
CHEMBL515	O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1	0
CHEMBL535	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C	1
CHEMBL554	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1	1
CHEMBL17442	COc1cc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC	0
CHEMBL279754	COc1cc2c(cc1OCCCOc1cc3c(cc1OC)C(=O)N1CCC[C@H]1C=N3)N=C[C@@H]1CCCN1C2=O	1
CHEMBL17199	COC(=O)/C=C/c1cc(O)c2c(c1O)C(=O)c1ccccc1C2=O	1
CHEMBL17006	CCOC(=O)/C=C/C1=CC(=O)c2c(O)ccc(O)c2C1=O	1
CHEMBL273319	COC(=O)/C=C/c1cc(OC)c2c(c1OC)C(=O)C=CC2=O	1
CHEMBL277077	CCOC(=O)/C=C/c1cc(O)ccc1O	1
CHEMBL17329	COC(=O)/C=C/c1cc(O)ccc1O	1
CHEMBL278986	CCOC(=O)/C=C/c1cc(OC)c2c(c1OC)C(=O)C=CC2=O	1
CHEMBL18688	Oc1nc(-c2ccc(F)cc2)nc2ccccc12	1
CHEMBL25891	COC1=C2C[C@H](C)C[C@H](OC)[C@@H](O)[C@H](C)/C=C(\C)C[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O	1
CHEMBL263627	CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCCCC#C[C@]3(O)CC[C@@]4(C)C5CCC6=CC(=O)CC[C@]6(C)[C@@]5(C)CC[C@@]43C)=C(C[C@H](C)C[C@H](OC)[C@@H](O)[C@H](C)/C=C(\C)C[C@@H]1OC(N)=O)C2=O	1
CHEMBL31733	COc1cc2ncc(C#N)c(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC	1
CHEMBL414139	COc1cc2c(Nc3ccc(Oc4ccccc4)cc3)c(C#N)cnc2cc1OCCCN1CCOCC1	1
CHEMBL285901	COc1cc(C(=O)/C=C/c2ccc(N(C)C)cc2)cc(OC)c1OC	0
CHEMBL810	Cn1nnc2c(C(N)=O)ncn2c1=O	0
