ID	Smiles	Class
CHEMBL28	O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	0
CHEMBL269277	C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12	0
CHEMBL7329	O=C1NC(=O)C(c2cn(CCOCCO)c3ccccc23)=C1c1c[nH]c2ccccc12	1
CHEMBL43	COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12	1
CHEMBL44	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	0
CHEMBL268403	NC1=NC(c2ccccc2F)Cc2ccccc21	0
CHEMBL7945	NC1=NC(c2ccc(F)cc2)Cc2cccc(F)c21	0
CHEMBL7946	NC1=NC(c2ccc(F)cc2)Cc2cc(F)ccc21	1
CHEMBL7969	NC1=NC(c2ccc(F)cc2)Cc2c(F)cccc21	1
CHEMBL414608	NC1=NC(c2ccccc2)Cc2cccc(F)c21	0
CHEMBL274402	NC1=NC(c2nccs2)Cc2ccccc21	0
CHEMBL8088	NC1=NC(c2ccc(F)cc2)Cc2ccccc21	1
CHEMBL8065	NC1=NC(c2cccs2)Cc2ccccc21	1
CHEMBL7931	NC1=NC(C2CC2)Cc2ccccc21	0
CHEMBL8272	C#CC1Cc2ccccc2C(N)=N1	1
CHEMBL8390	CC1Cc2ccccc2C(N)=N1	0
CHEMBL7889	CC(=N)NCCCC[C@H](N)C(=O)O	0
CHEMBL7890	COC(=O)[C@@H](N)CCCNC(=N)N[N+](=O)[O-]	0
CHEMBL7891	NC1=NCCc2ccccc21	0
CHEMBL267075	NC1=NC(c2ccc(F)cc2)Cc2cccc(Cl)c21	0
CHEMBL266226	NC1=NC(c2ccco2)Cc2ccccc21	1
CHEMBL8292	C#CC1Cc2ccsc2C(N)=N1	1
CHEMBL412901	NC1=NC(c2cccnc2)Cc2ccsc21	1
CHEMBL8105	NC1=NC(C2CC2)Cc2sccc21	1
CHEMBL8106	NC1=NC(c2ccccc2)Cc2ccsc21	1
CHEMBL8281	C#CC1Cc2sccc2C(N)=N1	1
CHEMBL268521	NC1=NCCc2ccsc21	1
CHEMBL8365	NC1=NC(C2CC2)Cc2ccsc21	1
CHEMBL8302	CC#CC1Cc2ccsc2C(N)=N1	0
CHEMBL8288	CC(C)(C)C#CC1Cc2ccsc2C(N)=N1	1
CHEMBL269162	NC1=NC(C#Cc2ccccc2)Cc2ccsc21	0
CHEMBL8041	NC1=NC(c2cccs2)Cc2ccsc21	1
CHEMBL274405	NC1=NC(c2ccco2)Cc2ccsc21	1
CHEMBL416696	NC1=NC(c2ccccc2)Cc2sccc21	1
CHEMBL274207	NC1=NCCc2sccc21	1
CHEMBL8304	C#CC1Cc2cc(C)sc2C(N)=N1	1
CHEMBL8260	O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12	0
CHEMBL61	COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC	1
CHEMBL9011	COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)c(N)c1	1
CHEMBL9309	COc1ccc(N)c(C(=O)c2cc(OC)c(OC)c(OC)c2)c1	1
CHEMBL276625	COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O	1
CHEMBL9514	COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1	1
CHEMBL9940	CN(C)CCNC(=O)c1cccc2cc3ccccc3nc12	1
CHEMBL276820	CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1	1
CHEMBL9941	COc1ccc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O	1
CHEMBL83	CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1	0
CHEMBL515	O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1	0
CHEMBL556	CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN	1
CHEMBL16171	COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12	0
CHEMBL117	O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12	0
CHEMBL280435	N#C/N=C1\N(CCCCCOc2ccc(Cl)cc2)C(=O)CN1c1ccncc1	1
CHEMBL417264	CCC1C(=O)N(CCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1	1
CHEMBL16928	CC1C(=O)N(CCCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1	1
CHEMBL17077	N#C/N=C1\N(CCCCCOc2ccc(Cl)cc2)C(=O)CCN1c1ccncc1	1
CHEMBL274993	O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccccc1	1
CHEMBL16532	N#C/N=C1\N(CCCCCCCOc2ccc(Cl)cc2)C(=O)C(c2ccccc2)N1c1ccncc1	1
CHEMBL16678	N#C/N=C1\N(CCCCCCOc2ccc(Cl)cc2)C(=O)C(c2ccccc2)N1c1ccncc1	1
CHEMBL17137	N#C/N=C1\N(CCCCCOc2ccc(Cl)cc2)C(=O)C(c2ccccc2)N1c1ccncc1	1
CHEMBL417088	CCC1C(=O)N(CCCCCCCOc2ccc(Cl)cc2)/C(=N\C#N)N1c1ccncc1	1
CHEMBL17289	N#CN=C(NCCCCCCOc1ccc(Cl)cc1)Nc1ccncc1	1
