ID	Smiles	Class
CHEMBL6	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	0
CHEMBL6291	Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21	1
CHEMBL269538	COc1ccc2c(c1)[nH]c1c(C)nccc12	0
CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	0
CHEMBL417	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1	0
CHEMBL415476	CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OCc3ccccc3)[C@]3(O)CC(OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2OCOCCO	1
CHEMBL6966	COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	1
CHEMBL28	O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	0
CHEMBL267616	COc1ccc(CC2CCc3nc(N)nc(N)c3C2)cc1OC	1
CHEMBL7063	COc1cc(CC2CCc3nc(N)nc(N)c3C2)cc(OC)c1OC	1
CHEMBL38	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1	0
CHEMBL44	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	0
CHEMBL429023	C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1	1
CHEMBL268368	O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21	1
CHEMBL8443	COc1cc2c[n+](C)c3c4cc5c(cc4ccc3c2cc1OC)OCO5.[Cl-]	1
CHEMBL50	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	0
CHEMBL8771	Nc1ncnc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O	1
CHEMBL465	CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21	0
CHEMBL8679	O=C(NCCCn1ccnc1)c1cc2ccccc2o1	0
CHEMBL58	O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21	1
CHEMBL467	NC(=O)NO	0
CHEMBL61	COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC	1
CHEMBL403516	CC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O	1
CHEMBL9416	CC(C)=CC[C@@H](OC(=O)C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O	1
CHEMBL9509	COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2CO)ccc1O	0
CHEMBL267024	CC(C)=CC[C@@H](OC(=O)C=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O	0
CHEMBL9470	CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O	1
CHEMBL276625	COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O	1
CHEMBL9654	O=C1C2=CCC[C@@]1(O)C#C/C=C\C#C[C@@H]2O	1
CHEMBL266846	Cl.Cn1cc(NC(=O)c2cc(NC(=O)Cc3ccc(COCO[C@@]45C#C/C=C\C#C[C@H](O)C(=CCC4)C5=O)cc3)cn2C)cc1C(=O)NCCC(=N)N	1
CHEMBL9472	Cl.Cn1cc(NC(=O)Cc2ccc(CO[C@H]3C#C/C=C\C#C[C@]4(O)CCC=C3C4=O)cc2)cc1C(=O)Cc1cc(C(=O)NCCC(=N)N)n(C)c1	0
CHEMBL83	CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1	0
CHEMBL273862	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1	1
CHEMBL267099	Nc1ncnc2c1ccn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	1
CHEMBL11475	CC1=CC(=O)c2c(O)ccc(O)c2C1=O	1
CHEMBL92	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C	1
CHEMBL12089	COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-]	0
CHEMBL506	COc1cc(NC(C)CCCN)c2ncccc2c1	0
CHEMBL515	O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1	0
CHEMBL275497	Nc1ccc(N(CCCl)CCCl)cc1	1
CHEMBL12850	CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(C(=O)O)CCC[C@]21C	0
CHEMBL99	CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1	1
CHEMBL521	CC(C)Cc1ccc(C(C)C(=O)O)cc1	0
CHEMBL441018	COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)[C@H]3O[C@@H]3c3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)CNC2=O)cc1Cl	1
CHEMBL535	CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C	1
CHEMBL14762	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	1
CHEMBL428690	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1	1
CHEMBL280099	O=c1cc(-c2ccccc2F)[nH]c2cc3c(cc12)OCO3	1
CHEMBL15192	CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O	1
CHEMBL274921	Nc1cc2nc3ccccc3nc2cc1N	1
CHEMBL15872	CC(C)(C)Nc1nc(C(F)(F)F)nc2ccccc12	0
CHEMBL279591	C#CC(C)(C)Nc1nc(C(Cl)(Cl)Cl)nc2ccccc12	0
CHEMBL16063	CC(C)(C)Nc1nc(C(F)(F)F)nc2ccc(NC=O)cc12	1
CHEMBL16571	CC(C)(C)Nc1nc(C(Cl)(Cl)Cl)nc2ccccc12	0
CHEMBL16294	CC(C)(C)Nc1nc(C(F)(F)F)nc2ccc(O)cc12	1
CHEMBL274456	CC(C)(C)Nc1nc(C(F)(F)F)nc2ccc(-c3ccsc3)cc12	0
CHEMBL16364	CC(C)(C)Nc1nc(C(F)(F)F)nc2ccc(C(F)(F)F)cc12	0
CHEMBL16958	O=C1NCc2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21	1
CHEMBL280487	C=C1[C@@H](O)[C@@H]2O[C@]3(CC[C@H](/C=C/[C@@H](C)[C@@H]4CC(C)=C[C@@]5(O[C@H](C[C@@](C)(O)C(=O)O)CC[C@H]5O)O4)O3)CC[C@H]2O[C@@H]1[C@@H](O)C[C@H](C)[C@H]1O[C@@]2(CCCCO2)CC[C@H]1C	1
CHEMBL17497	CCOC(=O)/C=C/c1cc(O)c2c(c1O)C(=O)c1ccccc1C2=O	1
CHEMBL17199	COC(=O)/C=C/c1cc(O)c2c(c1O)C(=O)c1ccccc1C2=O	1
CHEMBL17006	CCOC(=O)/C=C/C1=CC(=O)c2c(O)ccc(O)c2C1=O	1
CHEMBL17008	COC(=O)/C=C/C1=CC(=O)c2c(O)ccc(O)c2C1=O	0
CHEMBL538649	O=C(/C=C/c1ccc(O)c(O)c1)NO	1
CHEMBL273319	COC(=O)/C=C/c1cc(OC)c2c(c1OC)C(=O)C=CC2=O	1
CHEMBL277077	CCOC(=O)/C=C/c1cc(O)ccc1O	1
CHEMBL17329	COC(=O)/C=C/c1cc(O)ccc1O	1
CHEMBL275362	O=C(/C=C/c1ccc(O)c(O)c1)Nc1ccccc1	1
CHEMBL16923	COC(=O)/C=C/c1ccc(OC)c(O)c1	0
CHEMBL16993	COC(=O)/C=C/c1cccc(O)c1O	1
CHEMBL17324	COC(=O)CCc1cc(O)ccc1O	1
CHEMBL17001	COC(=O)/C=C/c1ccc(O)c(O)c1	1
CHEMBL278986	CCOC(=O)/C=C/c1cc(OC)c2c(c1OC)C(=O)C=CC2=O	1
CHEMBL17362	CCCOC(=O)/C=C/c1ccc(O)c(O)c1	1
CHEMBL17347	CCOC(=O)/C=C/c1ccc(O)c(O)c1	1
CHEMBL590	CC1=CC(=O)c2ccccc2C1=O	0
CHEMBL17368	O=C(Nc1ccccc1)c1c(O)nc2ccccc2c1O	1
CHEMBL17979	Cn1c(=O)c(C(=O)Nc2ccccc2)c(O)c2ccccc21	0
CHEMBL19163	O=c1c2ccccc2nc2n1Cc1cc3ccccc3nc1-2	0
CHEMBL18351	COc1ccc(-c2oc3c(OC)c(OC)c(OC)c(O)c3c(=O)c2OC)cc1O	1
CHEMBL282006	CS(=O)(=O)OCCN(CCOS(C)(=O)=O)c1ccccc1	1
CHEMBL428676	CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O	0
CHEMBL20289	COc1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1	1
CHEMBL277008	O=C1c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C(=O)N1NC(CO)CO	1
CHEMBL282436	O=CNN1C(=O)c2c(c3c4cccc(O)c4n(C4OC(CO)C(O)C(O)C4O)c3c3[nH]c4c(O)cccc4c23)C1=O	1
CHEMBL433618	O=C1NC(=O)c2c1c1cnc3ccccc3c1c1[nH]c3ccccc3c21	1
CHEMBL283778	O=C1NC(=O)c2c1c1c3cccnc3ccc1c1[nH]c3ccccc3c21	1
CHEMBL279226	O=C1NC(=O)c2c1c1c3ccccc3cnc1c1c2c2ccccc2n1CCCO	1
CHEMBL283093	O=C1NC(=O)c2c1c1c3ccccc3ncc1c1[nH]c3cc(Cl)ccc3c21	1
CHEMBL21042	CN(C)CCCn1c2ccccc2c2c3c(c4c5ccccc5cnc4c21)C(=O)NC3=O	1
CHEMBL280949	O=C1NC(=O)c2c1c1c3ccncc3ccc1c1[nH]c3ccccc3c21	1
CHEMBL282276	O=C1NC(=O)c2c1c1nc3ccccc3cc1c1[nH]c3ccccc3c21	1
CHEMBL277471	O=C1NC(=O)c2c1c1c3ccccc3ncc1c1[nH]c3ccccc3c21	1
CHEMBL20834	O=C1NC(=O)c2c1c1c(ccc3cccnc31)c1[nH]c3ccccc3c21	1
CHEMBL22025	CC[C@@]1(O)C[C@H](O)c2c(O)c3c(c(O)c2[C@H]1C(=O)OC)C(=O)c1cccc(O)c1C3=O	1
CHEMBL278531	CC1(C)C2=CC(=O)CC[C@@]1(O)C#C/C=C\C#C[C@H]2O	0
CHEMBL23532	COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC	0
CHEMBL25948	CCCCC/C=C/C(=O)CCc1ccc(O)c(OC)c1	0
CHEMBL286749	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)CC3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)C2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)SCC(C)C)c3ccco3)C(C)=C1C2(C)C	1
