ID	Smiles	Class
CHEMBL6246	O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23	1
CHEMBL6	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	0
CHEMBL269538	COc1ccc2c(c1)[nH]c1c(C)nccc12	0
CHEMBL408	Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2	0
CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	0
CHEMBL417	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1	1
CHEMBL20	CC(=O)Nc1nnc(S(N)(=O)=O)s1	0
CHEMBL28	O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	1
CHEMBL38	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1	0
CHEMBL7568	CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12	0
CHEMBL44	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	0
CHEMBL7976	O=C(/C=C/c1ccccc1)c1ccccc1	0
CHEMBL7747	O=C(/C=C/c1ccc(O)cc1)c1ccccc1	0
CHEMBL429023	C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1	1
CHEMBL8443	COc1cc2c[n+](C)c3c4cc5c(cc4ccc3c2cc1OC)OCO5.[Cl-]	1
CHEMBL8260	O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12	0
CHEMBL50	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	0
CHEMBL8320	O=C1C=CC(=O)C=C1	0
CHEMBL52	CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1	0
CHEMBL58	O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21	1
CHEMBL61	COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC	1
CHEMBL9470	CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O	1
CHEMBL9011	COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)c(N)c1	1
CHEMBL9309	COc1ccc(N)c(C(=O)c2cc(OC)c(OC)c(OC)c2)c1	1
CHEMBL276625	COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O	1
CHEMBL8953	COc1cc(C(=O)c2cc(Cl)ccc2N)cc(OC)c1OC	1
CHEMBL9940	CN(C)CCNC(=O)c1cccc2cc3ccccc3nc12	1
CHEMBL274803	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](C)(C(C)=O)C[C@]3(C)OC1CC(NC(=O)OCCS(=O)(=O)c2ccccc2)C(O)C(C)O1	1
CHEMBL265376	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(F)C1O)OC(=O)CCCCCCCCCCCCCCC	0
CHEMBL83	CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1	0
CHEMBL10121	COc1ccc(Cc2cc(OC)c(OC)c(OC)c2)cc1O	1
CHEMBL274070	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1	1
CHEMBL273862	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1	1
CHEMBL268697	C[N+]1(C)CCOC(O)(c2ccc(-c3ccc(C4(O)C[N+](C)(C)CCO4)cc3)cc2)C1	0
CHEMBL11025	O=C1c2cccc3c2c(cc2occc23)C(=O)N1CCNCCCNCCN1C(=O)c2cccc3c2c(cc2occc23)C1=O	1
CHEMBL11252	Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC=O)cn3C)cn2C)cc1C(=O)NCCC(=N)N	0
CHEMBL267345	C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O	1
CHEMBL12089	COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-]	1
CHEMBL503	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21	0
CHEMBL506	COc1cc(NC(C)CCCN)c2ncccc2c1	0
CHEMBL513	O=NN(CCCl)C(=O)NCCCl	0
CHEMBL515	O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1	0
CHEMBL274543	C=C1C(=O)O[C@@H]2CC(C)=C([C@@H](C)CCCOC(C)=O)[C@H](O)[C@H]12	0
