ID	Smiles	Class
CHEMBL8	O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O	0
CHEMBL269538	COc1ccc2c(c1)[nH]c1c(C)nccc12	0
CHEMBL408	Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2	0
CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	0
CHEMBL416	COc1c2occc2cc2ccc(=O)oc12	1
CHEMBL38	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1	0
CHEMBL7329	O=C1NC(=O)C(c2cn(CCOCCO)c3ccccc23)=C1c1c[nH]c2ccccc12	0
CHEMBL44	O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12	0
CHEMBL58	O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21	1
CHEMBL9470	CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O	1
CHEMBL276625	COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O	1
CHEMBL9941	COc1ccc(/C=C/C(=O)c2cc(OC)c(OC)c(OC)c2)cc1O	1
CHEMBL273862	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1	1
CHEMBL84	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1	1
CHEMBL515	O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1	1
CHEMBL275497	Nc1ccc(N(CCCl)CCCl)cc1	1
CHEMBL274309	Sc1ccc(N(CCCl)CCCl)cc1	0
CHEMBL12799	CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CO)CCC[C@]21C	1
CHEMBL13287	O=C(O)CC[C@H](NC(=O)Nc1ccc(N(CCCl)CCCl)cc1)C(=O)O	0
CHEMBL276232	O=C(O)CC[C@H](NC(=O)Sc1ccc(N(CCCl)CCCl)cc1)C(=O)O	0
CHEMBL518	O=C(O)Cc1ccc(N(CCCl)CCCl)cc1	0
CHEMBL12995	Oc1ccc(N(CCCl)CCCl)cc1	1
CHEMBL12644	CS(=O)(=O)OCCN(CCCl)c1ccc(C(=O)O)cc1	0
CHEMBL12830	O=C(O)CC[C@H](NC(=O)Oc1ccc(N(CCCl)CCCl)cc1)C(=O)O	0
CHEMBL13529	COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)/C=C/c3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)CNC2=O)cc1Cl	1
CHEMBL441018	COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)[C@H]3O[C@@H]3c3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)CNC2=O)cc1Cl	1
CHEMBL105	CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12	1
CHEMBL441343	O=C(O)c1ccc(O)cc1	0
CHEMBL14762	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	1
CHEMBL553	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	1
CHEMBL15221	Cc1ccc2[nH]c3nnc(N)c-3cc2c1	0
CHEMBL15192	CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O	1
CHEMBL15193	CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O	1
CHEMBL17001	COC(=O)/C=C/c1ccc(O)c(O)c1	1
CHEMBL18981	COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2	1
CHEMBL280133	COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(=O)c1ccccc1)CC2	1
CHEMBL428676	CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O	1
CHEMBL20330	CN(C)CCN1C(=O)c2cccc3cccc(c23)C1=O	1
CHEMBL672	CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1	0
CHEMBL726	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	0
CHEMBL31733	COc1cc2ncc(C#N)c(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC	1
CHEMBL414139	COc1cc2c(Nc3ccc(Oc4ccccc4)cc3)c(C#N)cnc2cc1OCCCN1CCOCC1	1
CHEMBL30728	COc1cc2c(Nc3ccc(Cc4ccccc4)cc3)c(C#N)cnc2cc1OCCCN1CCOCC1	1
CHEMBL29714	COc1cc2c(Nc3ccc(Sc4ccccc4)cc3)c(C#N)cnc2cc1OCCCN1CCOCC1	1
CHEMBL32749	COc1cc(/C=C/C(=O)O)ccc1O	0
CHEMBL431701	COc1cc([C@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@@H]2CO)ccc1O	0
CHEMBL37785	CCCCCCCCCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21	1
CHEMBL37931	COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NCc1ccc(F)cc1)CC2	1
CHEMBL416956	OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1	1
CHEMBL803	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1	1
CHEMBL810	Cn1nnc2c(C(N)=O)ncn2c1=O	0
CHEMBL39541	CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)c1nccs1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C	1
CHEMBL289228	Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C	1
CHEMBL289277	Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O	0
CHEMBL837	CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC	1
CHEMBL288441	COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl	1
CHEMBL290677	CN(C)CCN1C(=O)c2cccc3cc4ccccc4c(c23)C1=O	1
CHEMBL848	Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O	0
CHEMBL43482	CN(C)CCN1C(=O)c2cccc3cc([N+](=O)[O-])cc(c23)C1=O	1
CHEMBL852	N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O	1
CHEMBL43064	C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1	0
CHEMBL159	CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1	1
CHEMBL49442	O=C1c2ccccc2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21	0
CHEMBL298240	COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](N)CC2	1
CHEMBL48802	C[S+]([O-])CCCCN=C=S	0
CHEMBL51628	O=c1ccc2ccc(O)cc2o1	0
CHEMBL53569	O=c1ccc2ccc3occc3c2o1	1
CHEMBL917	O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F	0
CHEMBL55285	S=C=NCc1ccccc1	0
CHEMBL54044	CSCC[C@H](NC(=O)c1ccc(NC[C@@H](N)CS)cc1-c1ccccc1)C(=O)O	1
CHEMBL939	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1	1
CHEMBL165	Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1	0
CHEMBL302629	CCN(CC)CCn1c2cc(N3CCN(C)CC3)c(N)cc2c(=O)c2c(O)cc(O)cc21	0
CHEMBL304122	CCn1c2cc(N3CCN(C)CC3)c(N)cc2c(=O)c2c(O)cc(OC)cc21	1
CHEMBL67093	CCn1c2cc(Cl)c(N)cc2c(=O)c2c(O)cc(O)cc21	0
