ID	Smiles	Class
CHEMBL8	O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O	0
CHEMBL9	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21	0
CHEMBL8260	O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12	0
CHEMBL8640	CC1=C/C(=C\Cl)C(=O)C(C)(O)C12CC2	1
CHEMBL8312	C=C1C2=C(CC(C)(C)C2=O)C(=O)C(C)(O)C12CC2	1
CHEMBL7993	CC1=C/C(=C\C#CCCO)C(=O)C(C)(O)C12CC2	1
CHEMBL8039	C=C/C=C1\C=C(C)C2(CC2)C(C)(O)C1=O	1
CHEMBL8350	CC1=C/C(=C\C(C)C)C(=O)C(C)(O)C12CC2	1
CHEMBL8744	CC1=C/C(=C\c2ccccc2)C(=O)C(C)(O)C12CC2	1
CHEMBL9509	COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2CO)ccc1O	0
CHEMBL10128	C=C1C(n2ccc(N)nc2=O)O[C@H](CO)[C@@H]1O	1
CHEMBL503	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21	1
CHEMBL13659	Nc1nc(N)c(CCCNc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)c(O)n1	1
CHEMBL556	CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN	1
CHEMBL15770	CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1	0
CHEMBL117	O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12	0
CHEMBL17584	CC1=C(N2CC2)C(=O)c2nc3n(c2C1=O)CCC3OC(N)=O	1
CHEMBL447524	CC(=O)OC1CCn2c1nc1c2C(=O)C(C)=C(N2CC2)C1=O	1
CHEMBL18797	CSc1ccc(/C=C2/C(C)=C(CC(=O)O)c3cc(F)ccc32)cc1	0
CHEMBL25336	C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12	1
CHEMBL22696	C(=N/NC1=NCCN1)\c1ccc(/C=N/NC2=NCCN2)c2cc3ccccc3cc12	1
CHEMBL422395	C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1	1
CHEMBL25889	C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1	1
CHEMBL27896	c1ccc(CN2CCN(c3nc4ccccc4o3)CC2)cc1	0
CHEMBL287188	CN(C)CCNCc1c2ccccc2c(CNCCN(C)C)c2ccccc12	1
CHEMBL280986	CC(C)=CCC[C@](C)(O)C1CC[C@]2(C)C1[C@H](O)CC1[C@@]3(C)CC[C@H](O)C(C)(C)C3CC[C@]12C	1
CHEMBL29153	CC1(C)CCC[C@@](C)(C2CC[C@]3(C)C2[C@H](O)CC2[C@@]4(C)CC[C@H](O)C(C)(C)C4CC[C@]23C)O1	1
CHEMBL284616	O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O	0
